itest_id,num_of_q_per_session,n_sessions
9,39.1428571429,7
27,8.5714285714,7
33,21.8333333333,6
35,33.0714285714,14
37,17,3
41,33.5,6
77,16.6,10
87,39.4,5
114,27.6666666667,6
126,22,11
129,36.625,8
176,42.2,5
190,37.7142857143,7
205,36.2222222222,9
224,21.9285714286,14
237,26.4,5
240,35.5714285714,7
263,25.4,5
269,31.3333333333,9
282,34.125,8
283,48.7,10
303,19.6666666667,6
321,28.6666666667,6
334,54.1428571429,7
360,37.6153846154,13
363,48.1666666667,12
376,24.8,5
387,17.5555555556,9
390,32.8333333333,6
391,62.5,8
403,60.2,5
413,28.6666666667,9
462,16.4,5
473,28,7
476,54.7777777778,9
493,37.5,4
511,34.4285714286,7
522,25.5714285714,7
621,25.2727272727,11
636,33.6666666667,9
638,36.8,5
640,37.2222222222,9
661,20.3333333333,3
676,39.5,8
684,27.6666666667,12
688,45.4,5
738,19.75,4
739,48,6
747,28.1666666667,6
756,30,6
799,21.8571428571,7
808,41.3333333333,12
826,26.9166666667,12
828,44.6923076923,13
832,64.2727272727,11
848,52.6,5
869,24.875,8
887,21.2,5
892,19.3333333333,3
894,37.5,8
898,44.1,10
922,32.5714285714,7
943,34.3333333333,9
964,44.75,8
998,33.5833333333,12
1046,41.4,10
1047,28.8571428571,7
1099,32.75,4
1107,41.125,16
1109,36,5
1135,47.5,8
1177,33.1428571429,14
1203,31.4,5
1234,41.3333333333,3
1238,17.7142857143,7
1277,19,2
1282,8,4
1301,24.25,4
1305,35,8
1309,9.125,8
1348,27.6666666667,9
1350,52.8,5
1371,29.875,8
1375,35.625,8
1417,14,10
1456,19.6666666667,3
1460,30.5,4
1469,30.8571428571,7
1470,35,2
1538,24.5454545455,11
1551,36.5714285714,14
1572,34.9166666667,12
1598,40.625,8
1599,30.3,10
1607,31.3636363636,11
1621,42.6,5
1649,31,11
1658,24.3333333333,9
1660,30.3846153846,13
1667,5,1
1670,32.8,5
1684,12.3333333333,6
1707,24.75,4
1723,22.75,4
1764,61.1818181818,11
1765,29,5
1788,21.75,8
1824,61.6,5
1849,13.1111111111,9
1851,15,4
1858,31.6923076923,13
1867,21.25,4
1877,39.8333333333,6
1881,38.125,8
1884,17.5,4
1892,39,6
1896,12,4
1915,18.2,5
1922,37.4,10
1951,17.5714285714,7
1960,30.5833333333,12
1961,46.3,10
1962,21.7142857143,7
1980,53.8,5
2019,32.5384615385,13
2042,29.0666666667,15
2071,30.1,10
2106,9,6
2115,13.8571428571,7
2156,27,5
2163,35.5625,16
2222,28.2222222222,9
2230,34,8
2233,21.1666666667,6
2252,22.1428571429,14
2263,20.2,10
2271,24.25,12
2278,25.4285714286,7
2291,26.8571428571,7
2297,24.3333333333,12
2309,36.3846153846,13
2339,21.5833333333,12
2343,3.25,4
2370,31,2
2372,24.3333333333,3
2392,20.7142857143,7
2396,21.2222222222,9
2421,40.1818181818,11
2451,34.4166666667,12
2453,58.7142857143,7
2481,36.4166666667,12
2492,18,4
2513,32,5
2533,19.6666666667,3
2535,10.3333333333,6
2570,36.1,10
2607,77.25,8
2614,47,5
2620,10,10
2663,30.5454545455,11
2678,19,8
2688,35.6153846154,13
2691,17.6666666667,3
2697,19.1428571429,7
2738,22.7272727273,11
2775,31.5625,16
2816,58.5833333333,12
2819,43.5454545455,11
2830,23.2,5
2839,13,6
2842,33,8
2865,20.4285714286,7
2866,36.3333333333,3
2882,21.9230769231,13
2887,21.1428571429,7
2902,28.7142857143,7
2923,36.0769230769,13
2924,53.0909090909,11
2939,28.8571428571,7
2955,37.8461538462,13
2968,24.2777777778,18
2969,12.6,5
2998,36.7142857143,7
3061,58.6153846154,13
3069,60.55,20
3098,10.5,4
3159,45.2222222222,9
3171,27.2,5
3195,24.72,25
3198,31.5,8
3206,27.6666666667,15
3207,21.1,10
3215,24.4444444444,9
3256,19.3333333333,3
3259,33.8,5
3280,34.0833333333,12
3282,24.3333333333,3
3300,13.25,4
3327,17.7272727273,11
3331,32.6666666667,6
3345,39.8181818182,11
3348,40.0769230769,13
3371,45.5454545455,11
3386,10.5,4
3390,25.6666666667,9
3392,30,7
3405,27.4545454545,11
3408,54.4545454545,11
3413,41.8333333333,6
3435,24.3333333333,9
3436,33.25,4
3441,30.1428571429,7
3445,28.8333333333,6
3463,20.4285714286,7
3465,44.6666666667,3
3483,30.4,10
3497,21.6,5
3506,18.125,8
3508,15.25,4
3515,35.5384615385,13
3521,27.2222222222,9
3539,37.5833333333,12
3545,18,5
3559,32.3333333333,15
3567,41.6666666667,6
3609,61.7777777778,18
3684,15,4
3687,60.125,8
3688,9.5,6
3700,15.75,4
3708,21.2857142857,7
3771,15.6666666667,9
3778,56.9285714286,14
3788,20.3333333333,6
3860,20.6,5
3867,46.8461538462,13
3890,41.1666666667,12
3892,41.7142857143,7
3910,45.6923076923,13
3921,45,6
3929,49.3636363636,11
3967,13.6666666667,9
3982,65,9
4042,33.6363636364,11
4062,12.6666666667,3
4103,17.2,5
4145,23.1428571429,7
4162,58.7,10
4164,26.6923076923,13
4165,52.8571428571,7
4207,12.75,8
4209,48.1428571429,14
4226,41.8,5
4239,33,9
4241,38.9230769231,13
4286,27,3
4302,29.6,5
4337,19.3333333333,6
4369,40.4444444444,9
4375,15,4
4379,49.4285714286,7
4381,45.1,10
4426,16.5,4
4511,56.0833333333,12
4516,27.0909090909,11
4518,11.9,20
4546,24.6,10
4551,13.8571428571,14
4562,36.5454545455,11
4594,25.0833333333,12
4607,47.4166666667,12
4621,32,9
4622,14.5,6
4646,35,3
4658,25.0769230769,13
4659,25.3333333333,3
4663,20.3333333333,6
4665,28.7,10
4667,30.7777777778,9
4675,30,5
4693,36.125,8
4703,29,6
4722,37.1111111111,9
4760,34,11
4761,57.0909090909,11
4786,27.2307692308,13
4819,13.75,4
4830,32,3
4842,21.4444444444,9
4865,12.5714285714,7
4915,28.3333333333,3
4953,53.6,5
4962,24.6,5
5078,67.6,5
5122,28.8888888889,9
5132,18.3333333333,9
5155,22.375,8
5179,33.7272727273,11
5201,37,5
5212,40.125,8
5231,25.5,8
5250,27.8333333333,6
5265,37.6,5
5267,43.15,20
5295,39.9230769231,13
5332,26,9
5347,50.7777777778,9
5361,18,4
5363,25.2,5
5387,46.7777777778,9
5389,32.6,5
5407,52.6,5
5417,44.8333333333,6
5419,21.2727272727,11
5442,19.3333333333,12
5444,25.75,12
5467,21,2
5517,43.3333333333,6
5537,27,3
5554,30.8,5
5597,37,4
5653,15.8333333333,6
5663,25.2,10
5673,37.8,5
5705,51.8571428571,7
5736,36.25,8
5745,74.7142857143,7
5767,55.5454545455,11
5774,33.4444444444,9
5776,33.625,8
5777,33,5
5778,59.3333333333,9
5779,15.25,4
5781,31.3333333333,9
5832,61.5,4
5834,39.1666666667,6
5870,24.6,10
5894,39.3636363636,11
5899,19.75,8
5919,33,10
5927,36.1666666667,6
5950,36.5833333333,12
5962,23.4,5
5999,37.3846153846,13
6005,46.8,5
6010,9.3333333333,6
6028,38.5,4
6029,24.8,5
6030,31.2,5
6048,58.2,10
6057,40.9166666667,12
6074,17.8571428571,7
6105,37.1111111111,9
6110,25.8461538462,13
6131,35.2142857143,14
6173,29.2,5
6192,23,4
6212,12.9230769231,13
6214,26.6666666667,6
6215,44.2,10
6225,35.5,10
6226,34.3333333333,9
6235,45.8,10
6250,50.7692307692,13
6252,35.6,10
6278,7.5,6
6279,45,8
6287,29.875,8
6295,42.25,12
6297,32.5555555556,9
6298,25.2222222222,9
6308,23.5,10
6309,25.6666666667,6
6315,40.9090909091,11
6325,34.3636363636,11
6375,57.375,8
6386,30.8,10
6409,32.6,5
6410,26.3333333333,12
6427,45.8888888889,9
6460,19.25,8
6461,29,9
6462,13.25,4
6476,62,9
6500,13,2
6501,33.4,5
6504,8,4
6517,39.7857142857,14
6547,45.8333333333,6
6578,31.3076923077,13
6605,52.7777777778,9
6614,40.2,5
6615,38.1666666667,6
6621,14.75,4
6626,20.5454545455,11
6627,37.25,12
6646,24.25,4
6694,62.75,12
6695,53.7692307692,13
6697,26,4
6741,36.625,8
6751,22.7142857143,7
6756,32.5,10
6764,12.5714285714,7
6782,34,12
6792,29,10
6849,47.6,5
6862,64.8333333333,12
6876,46.7142857143,7
6879,21.2727272727,11
6911,25.75,4
6935,17,9
6938,34.4,10
6939,42,6
6948,29.6666666667,9
6950,41.5,8
6952,28.6,5
6964,42,11
6974,33.8,5
6984,30.1,10
7023,37.8888888889,9
7028,17.875,8
7057,8,7
7060,27.3333333333,3
7062,36.8571428571,7
7074,40.6,10
7079,49.1666666667,6
7083,19.8571428571,7
7093,37,13
7110,53.4,10
7174,20.25,4
7179,32,4
7181,50.6666666667,9
7225,14.8888888889,9
7233,28.5555555556,9
7267,46,8
7288,22.3333333333,3
7289,19.6666666667,9
7294,38.2307692308,13
7308,26.1666666667,6
7355,54.2857142857,7
7369,62.7,10
7457,23.8181818182,11
7511,43.4,10
7629,15,2
7676,52.1666666667,12
7680,22.9090909091,11
7717,29.9285714286,14
7782,21,9
